url,categoria,nombre,variante,sku,marca,precio_lista,precio_transferencia,stock,descripcion,imagen
https://carlosisla.com.ar/productos/nobili-hr125300ib-heron-monoc-cocina-c-pico-flexible-cromo-cep-leqz4/,Terminaciones > Griferías > Grifería Cocina > Nobili,NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO,único,111100600/AL,Nobili,2446741.94,2026264.37,,"Comprá online NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO por $2.446.741,94. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-mv92300-50bm-move-monoc-coc-ducha-de-mano-360-negro-78eed5d8d97d62150517665082795947-1024-1024-copia-e4bb5082112ad2e6c217689986028092-480-0.webp
https://carlosisla.com.ar/productos/nobili-lv00300-3cr-live-monoc-cocina-c-duchador-cromo-mikf1/,Terminaciones > Griferías > Grifería Cocina > Nobili,NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO,único,111100600/AL,Nobili,2446741.94,801215.72,,"Comprá online NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO por $2.446.741,94. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-mv92300-50bm-move-monoc-coc-ducha-de-mano-360-negro-78eed5d8d97d62150517665082795947-1024-1024-copia-e4bb5082112ad2e6c217689986028092-480-0.webp
https://carlosisla.com.ar/productos/nobili-mv92300-50bm-move-monoc-coc-ducha-de-mano-360-negro-njz04/,Terminaciones > Griferías > Grifería Cocina > Nobili,NOBILI-MV92300/50CR MOVE MONOC. COC. DUCHA DE MANO 360º CROMO,único,111100600/AM,Nobili,1764094.83,2202067.75,,"Comprá online NOBILI-MV92300/50CR MOVE MONOC. COC. DUCHA DE MANO 360º CROMO por $1.764.094,83. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-mv92300-50cr-move-monoc-coc-ducha-de-mano-360-cromo-85befd9c86906b721717665082551287-1024-1024-copia-a1e5dd97a88416db4117689985024940-480-0.webp
https://carlosisla.com.ar/productos/nobili-mv92300-50cr-move-monoc-coc-ducha-de-mano-360-cromo-omhhy/,Terminaciones > Griferías > Grifería Cocina > Nobili,NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO,único,111100600/AL,Nobili,2446741.94,1587685.35,,"Comprá online NOBILI-MV92300/50BM MOVE MONOC. COC. DUCHA DE MANO 360º NEGRO por $2.446.741,94. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-mv92300-50bm-move-monoc-coc-ducha-de-mano-360-negro-78eed5d8d97d62150517665082795947-1024-1024-copia-e4bb5082112ad2e6c217689986028092-480-0.webp
https://carlosisla.com.ar/productos/zedra-banera-wave-marine-acrilico-oval-160x75x58cm-9xpc8/,Terminaciones > Sanitarios > Bañeras - Cabinas - Receptáculos,ZEDRA BAÑERA WAVE MARINE ACRILICO OVAL -160X75X58CM-,único,004728/DB,Ferrum,452547.79,2025626.6,,"Comprá online FERRUM RECEPTACULO RECTANGULAR NIZA BLANCO -1.20X75X5 -RA12 B por $452.547,79. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/rectan-ec426d308b9217177f17754962177196-480-0.webp
https://carlosisla.com.ar/productos/zedra-banera-wave-nautic-acrilico-rectangular-160x80x58cm-1y4d3/,Terminaciones > Sanitarios > Bañeras - Cabinas - Receptáculos,ZEDRA BAÑERA WAVE NAUTIC ACRILICO RECTANGULAR- 160X80X58CM-,único,1111008458,Marca,518279.3,2110537.37,,"Comprá online CABINA SEMICIRCULAR C/RECEPTACULO BLACK 90X90X1.90 -JGC3402B-JGT40183- por $518.279,30. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/1111008458-c2e4b90b0101ae82cb17754964822586-480-0.webp
https://carlosisla.com.ar/productos/zedra-bacha-solid-surface-dali-40x32x14cm-sdasapo-v1sfc/,Terminaciones > Muebles y Bachas de baño,SELAH- BACHA CIRCULAR DARK GREY MATTE 36X14h- 103CCMDH,único,3309672/E,Marca,447093.31,532146.71,,"Comprá online SELAH- BACHA CIRCULAR DARK GREY MATTE 36X14h- 103CCMDH por $447.093,31. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/selah-product_img-circular-verde_oscuro_mate-01-cd06c0beba01b3afc417658227668928-480-0.webp
https://carlosisla.com.ar/productos/zedra-bacha-solid-surface-miro-39x14cm-smisapo-w0qvl/,Terminaciones > Muebles y Bachas de baño,SELAH- BACHA CIRCULAR LIGHT GREY MATTE 36X14h- 103CCMH,único,3309672/F,Marca,447093.31,578243.1,,"Comprá online SELAH- BACHA CIRCULAR LIGHT GREY MATTE 36X14h- 103CCMH por $447.093,31. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/selah-product_img-circular-gris_claro_mate-01-fae42f88c157968f9217658228291352-480-0.webp
https://carlosisla.com.ar/productos/zedra-espejo-ring-red-m-alum-negro-70cm-rin070n-wzhaz/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO RING RED. M.ALUM.CROMO 70CM- RIN070C,único,111100607/E,Marca,149784.61,134814.3,,"Comprá online ZEDRA ESPEJO RING RED. M.ALUM.CROMO 70CM- RIN070C por $149.784,61. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-ring-red-m-alum-cromo-70cm-rin070c-04ca1070552476f2e617665193091109-480-0.webp
https://carlosisla.com.ar/productos/zedra-espejo-ring-red-m-alum-cromo-70cm-rin070c-xpusd/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO RING RED. M.ALUM.ORO 70CM- RIN070O,único,111100607/F,Marca,149789.14,134806.15,,"Comprá online ZEDRA ESPEJO RING RED. M.ALUM.ORO 70CM- RIN070O por $149.789,14. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-ring-red-m-alum-oro-70cm-rin070o-4-d8cdf9b6b604677fd617665192813769-480-0.webp
