url,categoria,subcategoria,nombre,sku,marca,precio_ars,stock,unidad,tamano,material,uso,imagen
https://www.neuconmateriales.com.ar/catalog/product/view/id/20766,Construcción,Aislantes térmicos y acústicos,Lana de vidrio Micro Aire ® Plata Techos 50mm 1.2m x 18m x 21.6m²,INROTS-1056.0000,INROTS,153892.5311,0,ROLLO,,Vitreo,,https://media.xcons.com.ar/media/catalog/product/i/n/inrots-hgtar50v2_5.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/29649,Construcción,Aislantes térmicos y acústicos,Lana de vidrio Micro Aire ® Plata Techos 80mm 1.2m x 12m x 14.4m²,INROTS-16411,INROTS,149579.5224,0,ROLLO,,Vitreo,Interior,https://media.xcons.com.ar/media/catalog/product/i/n/inrots-hgtar50v2_3.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/29644,Construcción,Aislantes térmicos y acústicos,Lana de vidrio Micro Aire® PV Sin Revestir 100mm 1.2m x 11m x 13.2m²,INROTS-16404,INROTS,120928.247,18,ROLLO,1.20x11m,Vitreo,Interior,https://media.xcons.com.ar/media/catalog/product/i/n/inrots-16404v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/29643,Construcción,Aislantes térmicos y acústicos,Lana de vidrio Micro Aire® PV Sin Revestir 50mm 1.2m x 18m x 21.6m²,INROTS-16402,INROTS,99352.5797,0,ROLLO,,Vitreo,Interior,https://media.xcons.com.ar/media/catalog/product/i/n/inrots-16404v2_2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/20768,Construcción,Aislantes térmicos y acústicos,Lana de vidrio Micro Aire® PV Sin Revestir 80mm 1.2m x 12m x 14.4m²,INROTS-0085.0000,INROTS,105701.8853,0,ROLLO,,Vitreo,,https://media.xcons.com.ar/media/catalog/product/i/n/inrots-16404v2_4.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/41310,Construcción,Aislantes térmicos y acústicos,Placa aislante termico acustico EPS densidad 10kg/m³ 50mm x 1m x 1m,VARIAS-TEL10M50,VARIAS,12043.8076,0,UNIDAD,1x1m,EPS,,https://media.xcons.com.ar/media/catalog/product/v/a/varias-tel10m50.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/16377,Construcción,Aislantes térmicos y acústicos,Placa aislante termico acustico EPS densidad 20kg/m³ 30mm x 1m x 1m,VARIAS-TEL30M20,VARIAS,6559.651999999999,0,UNIDAD,30mm,EPS,,https://media.xcons.com.ar/media/catalog/product/v/a/varias-tel30m20.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/30796,Construcción,"Alambres, mallas y tejidos",Alambre atar acero recocido calibre Nº10 x ø 3.25mm rollo x kg,VARIAS-ARN10-1,VARIAS,3375.5007,0,ROLLO,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-arn10-1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/17334,Construcción,"Alambres, mallas y tejidos",Alambre atar acero recocido calibre Nº14 x ø 2.03mm rollo x kg,VARIAS-ALA016,VARIAS,3806.66,0,ROLLO,1kg,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-ala016v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/17333,Construcción,"Alambres, mallas y tejidos",Alambre atar acero recocido calibre Nº16 x ø 1.63mm rollo x kg,VARIAS-ALA015,VARIAS,4057.7955,414,ROLLO,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-ala016v2_1.jpg
